Day ,Month, Year,Ket
1,1,2021,Tahun Baru
12,2,2021,Tahun Baru Imlek
11,3,2021,Isra Miraj
14,3,2021,Nyepi
2,4,2021,Wafat Isa Al Masih
1,5,2021,Hari Buruh
12,5,2021,Cuti Bersama Idul Fitri
13,5,2021,Kenaikan Isa Al Masih
13,5,2021,Idul Fitri
14,5,2021,Idul Fitri
26,5,2021,Waisak
1,6,2021,Hari Lahir Pancasila
20,7,2021,Idul Adha
10,8,2021,Tahun Baru Islam
17,8,2021,Kemerdekaan RI
19,10,2021,Maulid Nabi Muhammad
25,12,2021,Natal
1,1,2020,Tahun Baru
25,1,2020,Tahun Baru Imlek
22,3,2020,Isra Miraj
25,3,2020,Nyepi
10,4,2020,Wafat Isa Al Masih
1,5,2020,Hari Buruh
7,5,2020,Hari Raya Waisak
21,5,2020,Kenaikan Isa Al Masih
22,5,2020,Cuti Bersama Idul Fitri
24,5,2020,Idul Fitri
25,5,2020,Idul Fitri
26,5,2020,Cuti Bersama Idul Fitri
27,5,2020,Cuti Bersama Idul Fitri
1,6,2020,Hari Lahir Pancasila
31,7,2020,Idul Adha
17,8,2020,Kemerdekaan RI
20,8,2020,Tahun Baru Islam
29,10,2020,Maulid Nabi Muhammad
24,12,2020,Cuti Bersama Natal
25,12,2020,Natal
1,1,2019,Tahun Baru
5,2,2019,Tahun Baru Imlek
7,3,2019,Nyepi
3,4,2019,Iskra Miraj
19,4,2019,Wafat Isa Al Masih
1,5,2019,Hari Buruh
19,5,2019,Hari Raya Waisak
30,5,2019,Kenaikan Isa Al Masih
1,6,2019,Hari Lahir Pancasila
3,6,2019,Hari Raya Idul FItri
4,6,2019,Hari Raya Idul FItri
5,6,2019,Hari Raya Idul FItri
6,6,2019,Hari Raya Idul FItri
7,6,2019,Hari Raya Idul FItri
11,8,2019,Hari Raya Idhul Adha
17,8,2019,Kemerdekaan RI
1,9,2019,Tahun Baru Islam
9,11,2019,Maulid Nabi
24,12,2019,Hari Raya Natal
25,12,2019,Hari Raya Natal
